time,open,high,low,close
1717053060,18416.91,18420.34,18414.53,18414.53
1717053120,18414.48,18415.59,18410.75,18414.75
1717053180,18414.88,18420.42,18413.56,18414.84
1717053240,18414.63,18418.64,18410.71,18418.64
1717053300,18418.17,18425.97,18417.44,18425.97
1717053360,18425.69,18429.53,18424.76,18428.81
1717053420,18428.98,18430.44,18423.04,18424.35
1717053480,18424.64,18424.64,18421.74,18422.64
1717053540,18423.34,18423.57,18419.3,18419.3
1717053600,18419.17,18424.15,18419.17,18423.34
1717053660,18423.2,18427.18,18422.89,18426.39
1717053720,18426.48,18433.64,18426.48,18432.09
1717053780,18432.35,18434.96,18430.61,18431.39
1717053840,18431.29,18431.49,18419.75,18419.9
1717053900,18419.79,18427.3,18418.95,18422.88
1717053960,18421.78,18424.46,18419.47,18422.48
1717054020,18422.38,18432.49,18422.38,18431.8
1717054080,18431.67,18436.91,18431.67,18436.91
1717054140,18436.83,18448.01,18436.83,18447.19
1717054200,18447.97,18456.11,18447.97,18454.43
1717054260,18454.44,18456.21,18451.55,18451.55
1717054320,18450.14,18452.08,18441.22,18441.59
1717054380,18442.15,18442.15,18437.4,18440.46
1717054440,18440.31,18445.74,18439.22,18442.17
1717054500,18442.21,18445.43,18442.21,18445.28
1717054560,18445.34,18450.35,18444.45,18445.44
1717054620,18445.56,18446.64,18443.04,18443.32
1717054680,18443.04,18446.23,18442.64,18444.69
1717054740,18443.85,18446.36,18443.58,18445.26
1717054800,18445.33,18450.39,18444.42,18450.39
1717054860,18450.21,18457.26,18449.56,18456.6
1717054920,18457.2,18460.6,18457.09,18460.03
1717054980,18460.06,18460.11,18454.9,18455.47
1717055040,18455.05,18458.12,18453.24,18457.12
1717055100,18457.21,18457.21,18452.46,18453.19
1717055160,18453.13,18453.14,18448.08,18449.72
1717055220,18450.0,18453.53,18447.06,18447.06
1717055280,18446.18,18446.47,18444.15,18446.46
1717055340,18446.75,18448.43,18446.02,18447.86
1717055400,18447.24,18450.44,18445.65,18450.44
1717055460,18450.52,18457.65,18450.52,18457.65
1717055520,18457.94,18459.16,18451.0,18451.64
1717055580,18451.4,18456.43,18450.5,18454.98
1717055640,18454.86,18462.67,18454.86,18461.65
1717055700,18461.62,18461.98,18459.24,18461.61
1717055760,18461.5,18463.0,18461.1,18462.63
1717055820,18462.29,18466.62,18461.48,18466.62
1717055880,18466.46,18471.38,18466.46,18467.56
1717055940,18467.66,18472.04,18467.38,18471.26
1717056000,18470.98,18475.37,18470.88,18473.29
1717056060,18474.85,18479.14,18471.84,18471.84
1717056120,18471.72,18478.66,18471.16,18476.27
1717056180,18476.21,18476.21,18471.8,18475.36
1717056240,18475.54,18475.55,18472.02,18472.56
1717056300,18472.42,18472.51,18466.88,18470.84
1717056360,18470.27,18470.56,18465.92,18467.19
1717056420,18466.44,18468.23,18466.33,18467.74
1717056480,18467.9,18473.02,18467.9,18471.12
1717056540,18470.67,18471.43,18466.73,18470.61
1717056600,18470.33,18477.86,18470.33,18475.15
1717056660,18474.94,18478.02,18474.18,18474.18
